Title,Description,Director,Actors,Entidades
Guardians of the Galaxy,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","['fanatical warrior', 'universe', 'james gunn', 'chris pratt', 'vin diesel', 'bradley cooper', 'zoe saldana']"
Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron","['distant moon', 'ridley scott', 'noomi rapace', 'logan marshall-green', 'michael fassbender', 'charlize theron']"
Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula","['three girls', 'm. night shyamalan', 'james mcavoy', 'anya taylor-joy', 'haley lu richardson', 'jessica sula']"
Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","['hustling theater impresario', 'theater', 'city of humanoid animals', 'christophe lourdelet', 'matthew mcconaughey,reese witherspoon', 'seth macfarlane', 'scarlett johansson']"
Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis","['world', 'apocalypse', 'david ayer', 'will smith', 'jared leto', 'margot robbie', 'viola davis']"
The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau","['great wall of china', 'yimou zhang', 'matt damon', 'tian jing', 'willem dafoe', 'andy lau']"
La La Land,A jazz pianist falls for an aspiring actress in Los Angeles.,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","['los angeles', 'aspiring actress', 'a jazz pianist', 'damien chazelle', 'ryan gosling', 'emma stone', 'rosemarie dewitt', 'j.k. simmons']"
Mindhorn,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",Sean Foley,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh","['has-been actor', 'detective mindhorn', '1980s', 'serial killer', 'mindhorn', 'sean foley', 'essie davis', 'andrea riseborough', 'julian barratt,kenneth branagh']"
The Lost City of Z,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland","['amazon', 'mysterious city', '1920s', 'british', 'col. percival fawcett', 'a true-life drama', 'james gray', 'charlie hunnam', 'robert pattinson', 'sienna miller', 'tom holland']"
Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne","['two passengers', '90 years early', 'sleep chambers', 'distant colony planet', 'morten tyldum', 'jennifer lawrence', 'chris pratt', 'michael sheen,laurence fishburne']"
Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler","['harry potter', 'newt scamander', 'new york', 'david yates', 'eddie redmayne', 'katherine waterston', 'alison sudol,dan fogler']"
Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner","['early years', 'u.s.', 'theodore melfi', 'taraji p. henson', 'octavia spencer', 'janelle monae,kevin costner']"
Rogue One,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","['the rebel alliance', 'gareth edwards', 'felicity jones', 'diego luna', 'alan tudyk', 'donnie yen']"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","['terrible curse', 'ocean', 'maui', 'chieftain', 'ancient polynesia', 'ron clements', ""auli'i cravalho"", 'dwayne johnson', 'rachel house', 'temuera morrison']"
Colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson","['new york city', 'seoul', 'gloria', 'nacho vigalondo', 'anne hathaway', 'jason sudeikis', 'austin stowell,tim blake nelson']"
The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","['duke', 'max', 'chris renaud', 'louis c.k.', 'eric stonestreet', 'kevin hart', 'lake bell']"
Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer","['battle of okinawa', 'desmond t. doss', 'mel gibson', 'andrew garfield', 'sam worthington', 'luke bracey,teresa palmer']"
Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel","['former operative', 'paul greengrass', 'matt damon', 'tommy lee jones', 'alicia vikander,vincent cassel']"
Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","['25 years later', 'calcutta', 'a five-year-old indian boy', 'he', 'australia', 'garth davis', 'dev patel', 'nicole kidman', 'rooney mara', 'sunny pawar']"
Arrival,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg","['world', 'louise banks', 'denis villeneuve', 'amy adams', 'jeremy renner', 'forest whitaker,michael stuhlbarg']"
Gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",Stephen Gaghan,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll","['indonesia', 'uncharted jungle', 'kenny wells', 'stephen gaghan', 'matthew mcconaughey', 'edgar ramirez', 'bryce dallas howard', 'corey stoll']"
